A2H1-2FG;3;;;
AABFG;3;;;
AACBF;3;;;
AAE32F;3;;;
AAFG;3;;;
AAKG;3;;;
AAPGFG;3;;;
AAPPFG;3;;;
AARGFG;3;;;
AARPFG;3;;;
AK102F;3;;;
AK104F;3;;;
AK105F;3;;;
AK106-7F;3;;;
ALMAKG;3;;;
ALMCKG;3;;;
ALL0.28F;3;;;
AMAAKG;3;;;
ARA30F;3;;;
ARAL2.0F;3;;;
ARAL3F;3;;;
ARG05F;3;;;
ARG3F;3;;;
ARGCBF;3;;;
ARGNF;3;;;
ARQK120F;3;;;
ATCHF;3;;;
BOLM4F;3;;;
BOLM6F;3;;;
BOLM8F;3;;;
BRBPF;3;;;
BRGPF;3;;;
BROPLAS;3;;;
BROR;3;;;
BX100CO;3;;;
CCOLKG;3;;;
CEMXR;3;;;
CLCBF;3;;;
CNFCF;3;;;
DAMX100;3;;;
DDBX100;3;;;
DIJMETPF;3;;;
EEROLLO;3;;;
GALLAVPF;3;;;
GLLAVMF;3;;;
HILTJXK;3;;;
LENTJF;3;;;
PAMBEF;3;;;
PANTIGF;3;;;
PARTF;3;;;
PCOBPF;3;;;
PEBTO3F;3;;;
PEGSENF;3;;;
PEMADEF;3;;;
PEMAPEGF;3;;;
PENIPLF;3;;;
PENPROF;3;;;
PEPNF;3;;;
PEPR3F;3;;;
PHTRASNF;3;;;
PMCF;3;;;
PMETF;3;;;
PPFG;3;;;
REB2X2F;3;;;
RH/TEJ;3;;;
RTU1X1F;3;;;
S10HCBF;3;;;
SBV10F;3;;;
SBV8F;3;;;
SD06X100;3;;;
SD08X100;3;;;
SD10X100;3;;;
SDSENF;3;;;
SE10HGF;3;;;
S/ELASF;3;;;
SEPMEAF;3;;;
TAPNNIF;3;;;
TCPEQUF;3;;;
TENX100;3;;;
TERCADF;3;;;
TEREC2F;3;;;
TEREC4F;3;;;
UCB2.3F;3;;;
AAF;6;;;
ABAT;6;;;
ABTL;6;;;
ABTLP;6;;;
ABTM;6;;;
ACCTDI;6;;;
ACCTOR;6;;;
ACMN;6;;;
ACPCG;6;;;
ACPCP;6;;;
ACHP;6;;;
AD08;6;;;
AD10;6;;;
AD15;6;;;
ADDO09;6;;;
ADDO12;6;;;
ADPLAS;6;;;
AECHP50;6;;;
AFG;6;;;
AFT10;6;;;
AFT13;6;;;
AFT16;6;;;
AFT67;6;;;
AFT68;6;;;
AFT71;6;;;
ANAF;6;;;
ANAG;6;;;
AP1HOJA;6;;;
AP2FPQ;6;;;
AP2RL;6;;;
AP6FL;6;;;
APCRIS;6;;;
APER;6;;;
APFP;6;;;
APGF;6;;;
APGL;6;;;
APHB;6;;;
APHC;6;;;
APLAM;6;;;
APLAP;6;;;
APLAS;6;;;
APLEM;6;;;
APLEN;6;;;
APLx12;6;;;
APMG;6;;;
APOK;6;;;
APRL;6;;;
APTP;6;;;
APVM;6;;;
APZAP;6;;;
ARLZ;6;;;
AROR;6;;;
