1011607730001;BOLA METALICA FINA #6;BMF6X100;UND;7.50;9.00;3
1016500190001;BOTONES X 100 PARA COSER;BX100CO;UND;4.25;5.10;3
;"BROCHE "" R """;BROR;UND;0.60;0.76;3
1016500080002;BROCHE 3 VUELTAS FDA/GDE;BRO3VF;UND;6.00;7.20;3
1016500120002;BROCHE BARRIL GRANDE FDA/GDE;BRBAGF;UND;23.00;27.60;3
1016500130002;BROCHE BARRIL PEQUEÑO FDA/GDE;BRBPF;UND;18.50;22.20;3
1016500160002;BROCHE GANCHO BRONCE GRANDE FDA/GDE;BRGBGF;UND;16.00;19.20;3
1016500150002;BROCHE GANCHO BRONCE MEDIANO FDA/GDE;BRGMF;UND;12.00;14.40;3
1016500140002;BROCHE GANCHO BRONCE PEQUEÑO FDA/GDE;BRGPF;UND;11.50;13.80;3
1016500320002;BROCHE GANCHO EXT/GRANDE;BRGEX;UND;4.00;4.80;3
1011601740001;BROCHE GANCHO FINO X100;BGFX100;UND;18.00;21.60;3
1016500040002;BROCHE GANCHO GRANDE FDA/GDE;BGGRF;UND;14.00;16.80;3
1016500030002;BROCHE GANCHO MEDIANO FDA/GDE;BGMEF;UND;10.00;12.00;3
1016500280002;BROCHE GANCHO PEQUEÑO FDA/GDE;BGPEF;UND;8.00;9.60;3
1011608920002;BROCHE GANCHO PLANO FDA/GDE;BGPL;UND;17.00;20.40;3.00
1016500010002;BROCHE GRANDE FDA/GDE;BRGRAF;UND;19.00;22.80;3
1016500050002;BROCHE MAZI 0.6 FDA/GDE;BMAZIF;UND;4.00;4.80;3
1011601590002;BROCHE MAZI 1.0 FDA/GDE;BNAZ1.0F;UND;6.00;7.20;3
1011601610002;BROCHE MAZI 1.4 FDA/GDE;BMAZ1.4F;UND;7.50;9.00;3
1016500020002;BROCHE PEQUEÑO FDA/GDE;BROPEF;UND;15.00;18.00;3
1016500060002;BROCHE PLASTICO FDA/GDE;BROPLAS;UND;3.57;4.29;3
1010524890002;CAUTIN PARA ATACHES;CAUTI;UND;85.00;102.00;3
1016500230002;CLAVO COBRE / BRONCE FDA/GDE;CLCBF;UND;4.50;5.40;3
1016500260002;CLAVO NEGRO FDA/GDE;CLANF;UND;5.00;6.00;3
1011605920001;CLAVO NIQ. FINO CABEZA RED.FUN;CNFCRF;UND;15;18.00;3
1010511030001;CLAVO NIQ.FINO FUNDA;CNFFU;UND;7.50;9.00;3
1011606020001;CLAVO NIQ.FINO/CABEZA FUNDA;CNFCF;UND;9.80;11.76;3
1016500220002;CLAVO NIQUEL FDA/GDE;CLAVNF;UND;6.00;7.20;3
1011601250002;CORDON COLA DE RATA KG;CCOLKG;UND;8.50;8.93;3
1011605590002;CORDON ELASTICO  MED. x ROLLO;CEMXR;UND;4.50;5.63;3
1011608750002;CRUZES PLASTICAS FDA/GDE;CRUZPF;UND;25.00;30.00;3
1016500110001;DIJE ACERO MEDIANO X 100;DAMX100;UND;10.50;12.60;3
1016522110001;DIJE DIAMANTE DE BRASIL x 100;DDBX100;UND;0.03;0.03;3
1016500910002;DIJE METALICO MEDIANO FDA/GDE;DMETMF;UND;6.00;7.20;3
1016500900002;DIJE METALICO PEQUEÑO FDA/GDE;DIJMETPF;UND;5.50;6.60;3
1011604350001;ENCAJE ELASTICO ROLLO;EEROLLO;UND;9.50;11.40;3
1012536310001;ENCAJE FINO ROLLO;EFROLLO;UND;7.50;9.00;3
1011600390001;GANCHO ARETE NUE. PEQ. X500;GAPX500;UND;15.00;18.00;3
1011603060001;GANCHO DE ARETE NUEVO X500;GANX500;UND;20.00;24.00;3
1011600400001;GANCHO DE ARETE X500;GAX500;;10.00;12.00;3
1012501180001;GANCHO LLAVERO GRANDE F/GDE.;GANLLGF;UND;7.00;8.40;3
1012501160001;GANCHO LLAVERO MEDIANO F/GDE.;GLLAVMF;UND;6.50;7.80;3
1011606150002;GANCHO LLAVERO PEQUEÑO FDA/GDE;GALLAVPF;UND;4.30;5.16;3
1011607760001;GANCHOS DE ARETES;GAX500;UND;10;12.50;3
1017510210001;HILO CAUCHO / KG;HCAUCHK;UND;5.00;6.25;3
1017510280001;HILO NYLON / KG;HILNKG;UND;10.00;10.50;3
1011606340001;HILO PARA TEJER x KG;HILTJXK;UND;7.50;9.38;3.00
1011607230001;HOJALILLOS # 16-18 XF;HO16FUN;UND;15.00;18.00;3
;HOJALILLOS # 8-10 XF;HO8X100;UND;5.00;6.00;3
1011600840001;HOJALILLOS #12-14 XF;HO12FUN;UND;10.00;12.00;3
1012525290001;HOJALILLOS PARA BOTON;HOJPB;UND;18.00;22.50;3
1010531030002;LENTEJUELA FDA/GDE;LENTJF;UND;5.50;6.60;3
1016530340002;MALLA METALICA FDA/GDE;MALLMF;UND;7.50;9.00;3
1011606140001;MAQUINA PARA MOÑOS;MAQPM;UND;28.00;33.60;3
1016500630002;MARIPOSA DE ARETE BRONCE FDA/GDE;MARPABF;UND;7.50;9.00;3
1016500620002;MARIPOSA DE ARETE FDA/GDE;MARPARF;UND;7.50;9.00;3
1017510070001;NYLON ELEFANTE;NYLELE;UND;4.00;5.04;3.00
1012303000001;P. JIANG TAI T. OVALO 12X20 X100;PJTOX100;UND;39.00;46.80;3
1011603900002;PEPA AMBAR ESPECIAL FDA/GDE;PAMBEF;UND;6.90;8.28;3
1011605120002;PEPA ANTIGUA FD/GD;PANTIGF;UND;7.80;9.36;3
1016503050002;PEPA BICOLOR TORNASOL FDA/GDE;PBITORF;UND;13.00;15.60;3
1011608950002;PEPA BICOLOR TORNASOL ROMBO# 3 FDA/GDE;PEBTO3F;UND;18.80;22.56;3
1011605280002;PEPA COBRE PULIDA FDA/GDE;PCOBPF;UND;9.50;11.40;3
1011608740002;PEPA CRISTAL COLOR BOLA #6 FDA/GDE;PCCB06F;UND;8.00;9.60;3
1010530030002;PEPA CRISTAL COLOR FDA/GDE;PEPCOLF;UND;7.00;8.40;3
1010520020001;PEPA CRISTAL KG;PECRISK;UND;5.00;6.25;3
1011608930002;PEPA GAMUZA SENCILLA FDA/GDE;PEGSENF;UND;7.80;9.36;3
1011605110002;PEPA HIELO TRANSPARENTE FD/GD;PHTRASNF;UND;9.50;11.40;3
1021302030001;PEPA JIAN TAI # 12X100;PJ12X100;UND;12.00;14.40;3
1021302040001;PEPA JIAN TAI # 14X100;PJ14X100;UND;16.00;19.20;3
1012302330001;PEPA JIAN TAI 5 BORDESX100;PJ5BX100;UND;19.00;22.80;3
1012302280001;PEPA JIAN TAI ARGOLLAX100;PJARX100;UND;14.00;16.80;3
1021302200001;PEPA JIAN TAI GOTA GR.X100;PJGGX100;UND;16.00;19.20;3
1021302210001;PEPA JIAN TAI GOTA MED.X100;PJGMX100;UND;12.00;14.40;3
1012303030001;PEPA JIAN TAI PASTILLA PEQ.X100;PJPPX100;UND;35.00;42.00;3
1012303020001;PEPA JIAN TAI PASTILLAX100;PJPAX100;100;13.00;15.60;3
1012303140001;PEPA JIAN TAI PESCADOX100;PJIPX100;UND;25.00;30.00;3
1012303070001;PEPA JIANG TAI GOTA FIX100;PJGFX100;UND;32.00;38.40;3
1021302270001;PEPA JIANG TAI TUBO FINOX100;PJTFX100;UND;5.00;6.00;3
1021302260001;PEPA JIANG TAI TUBOX100;PJTUX100;UND;12.50;15.00;3
1012303060001;PEPA JING TAI OVALO FINOX100;PJOFX100;UND;25.00;30.00;3
1014526010002;PEPA MADERA COLOR FDA/GDE;PMCF;UND;8.50;10.20;3
1014526000002;PEPA MADERA FDA/GDE;PEMADEF;UND;6.90;8.28;3
1010100110002;PEPA MADERA PEGABLE FDA/GDE;PEMAPEGF;UND;2.90;3.48;3
1011608550002;PEPA MATE ESPECIAL FDA/GDE;PMEF;UND;6.00;7.20;3
1016530300001;PEPA METALICA FDA/GDE;PMETF;UND;8.50;10.20;3
1012521780001;PEPA METALIZADA OVALO FINO 6X10 X100;PO10X100;UND;14.00;16.80;3
1012521010002;PEPA METALIZADA OVALO FINO 6X8 X100;PO8X100;UND;11.00;13.20;3
1011601850001;PEPA METALIZADA OVALO FINO 8X15 X100;PF15X100;UND;19.00;22.80;3
1012521010001;PEPA METALIZDA OVALO FINO 7X12 X100;PF12X100;UND;17.00;20.40;3
1010530020002;PEPA NIQUEL / PLATA FDA/GDE;PENIPLF;UND;10.50;12.60;3
1011604620002;PEPA NIQUEL PLATA PARA ROPA FDA/GDE;PENPROF;UND;10.50;12.60;3
1011607810001;PEPA PLAST.  GRAFITY ESP. FD/GDE;PEPGRAEF;UND;12.00;14.40;3
1011605100002;PEPA PLASTICA GAMUZA FD/GD;PEPGAMF;UND;12.00;14.40;3
1012536170002;PEPA PLASTICA HIELO FDA/GDE;PPHF;UND;7.50;9.00;3
1011604800002;PEPA PLASTICA MATE FDA/GDE;PEPMF;UND;5.00;6.00;3.00
