1016500640001; ARGOLLA 3.5 mm;322; Q001  ;0.54;0.54;0;0;ARG3;;59
1016600230001; ARGOLLA ALUMINIO 3.0 x 3.1;209; Q001  ;0.67;0.67;0;0;ARAL3;;46
1016600230002; ARGOLLA ALUMINIO 30 x 26;184; Q001  ;0;0.56;0;0;ARA30;;87
1011604710001; ARGOLLA ALUMINIO ENTORCHADA 1.8 x 15;158; Q001  ;1.53;1.53;0;0;AAE1;;44
1016303180002; ARGOLLA ALUMINIO ENTORCHADA 2.0 X 2.1;7; Q001  ;4.5;4.73;0;0;AAE2;;7
1016604720001; ARGOLLA ALUMINIO ENTORCHADA 3.0 x 31;49; Q001  ;0.67;0.67;0;0;AAE3;;0
1016600210001; ARGOLLA ALUMINIO K 107;159; Q001  ;0.5;0.5;0;0;AK107;;9
1016600220001; ARGOLLA ALUMINIO K102;207; Q001  ;1.22;1.22;0;0;AK102;;27
1016500650001; ARGOLLA ALUMINIO K104;368; Q001  ;0.86;0.86;0;0;AK104;;136
1016303180001; ARGOLLA ALUMINIO K105;889; Q001  ;0.56;0.56;0;0;AK105;;185
101160470001; ARGOLLA ALUMINO ENTORCHADA 1.8 x 20;205; Q001  ;1.84;1.84;0;0;AAE18;;22
1015526170001; ARGOLLA DE ACERO;124; Q001  ;2.72;2.72;0;0;AACR;;54
1012536100001; ARGOLLA DIAMANTE # 08;418; Q001  ;0.66;0.66;0;0;AD08;;386
1015200170001; ARGOLLA DIAMANTE # 15;484; Q001  ;1.43;1.43;0;0;AD15;;246
1510101670001; ARGOLLA FINA T 1380;296; Q001  ;0.33;0.33;0;0;AFT13;;176
1510101660001; ARGOLLA FINA T 1666;116; Q001  ;0.88;0.88;0;0;AFT16;;46
1015100820001; ARGOLLA FINA T 1667;211; Q001  ;0.77;0.77;0;0;AFT67;;111
1515101960001; ARGOLLA FINA T 1668;138; Q001  ;0.88;0.88;0;0;AFT68;;40
1015100890001; ARGOLLA FINA T 6071;438; Q001  ;0.44;0.44;0;0;AFT71;;198
1015100880001; ARGOLLA FINA T 7100;136; Q001  ;0.77;0.77;0;0;AFT10;;66
